"","term","estimate","std.error","statistic","p.value","p.adjust(summary(LIN_Wasting)$coefficients[1:41, 4], method = ""BH"")","2.5 %","97.5 %"
"DontUseTP","DontUseTP",-0.00183630854812046,0.0445761352476379,-0.0411948801285496,0.967155818241521,0.987002437442838,-0.0894009187911397,0.0857283016948988
"EatSoil","EatSoil",-0.0228188864652459,0.0564957821372286,-0.40390424916711,0.686443628610054,0.987002437442838,-0.133798250551842,0.0881604776213502
"NeverWashFruit","NeverWashFruit",-0.0712930165166322,0.0707968889450896,-1.0070077595066,0.314383734222337,0.92069522165113,-0.210365234250528,0.0677792012172639
"EatRawVeg","EatRawVeg",-0.0232709367628907,0.0274146770547436,-0.848849567566368,0.396342534963141,0.973286267183317,-0.0771238672132502,0.0305819936874688
"WashRawVegFrequency","WashRawVegFrequency",0.0184362951820343,0.0612669220208446,0.300917600785654,0.763593585799332,0.987002437442838,-0.101915415834209,0.138788006198278
"WalkBarefoot","WalkBarefoot",0.00295226643939536,0.0264284531823762,0.111707878589129,0.911096695723609,0.987002437442838,-0.0489633424258502,0.0548678753046409
"DewormPill","DewormPill",0.00878036424821593,0.0265515459660531,0.330691262175162,0.741006449478774,0.987002437442838,-0.0433770460106794,0.0609377745071112
"Antibiotics","Antibiotics",0.0537466760138488,0.0426320514628133,1.26071052575855,0.207959626570745,0.811739402752864,-0.0299990087446657,0.137492360772363
"DocConfirmedAsthma","DocConfirmedAsthma",-0.0686581935008884,0.116621354786094,-0.588727455849068,0.556291204543003,0.986255066829691,-0.29774722109662,0.160430834094843
"Rash","Rash",-0.0236839792673511,0.0430557241663453,-0.550077364297679,0.582494603657131,0.986255066829691,-0.108261919557874,0.0608939610231714
"momFinishedPrimary","momFinishedPrimary",-0.0163002800709614,0.0311827837400505,-0.522733319989825,0.601375040749812,0.986255066829691,-0.0775552159087329,0.0449546557668102
"houseDustFloor","houseDustFloor",-0.0378931097933284,0.0297355933478298,-1.27433508220524,0.203094846093977,0.811739402752864,-0.0963052091685342,0.0205189895818774
"washHandsLatWater","washHandsLatWater",0.0977292894365793,0.0861957573004803,1.13380626259704,0.257380786238713,0.811739402752864,-0.0715922062625885,0.267050785135747
"washHandsLatWaterSoap","washHandsLatWaterSoap",0.0993530637590548,0.0846522363843259,1.17366141761437,0.241049977453493,0.811739402752864,-0.0669363654167557,0.265642492934865
"washHandsWaterB4Eat","washHandsWaterB4Eat",0.00590126439741554,0.231833787002431,0.0254547211332646,0.979701702629759,0.987002437442838,-0.449509126998208,0.461311655793039
"washHandsSoapB4Eat","washHandsSoapB4Eat",-0.0128490522155221,0.231278619643143,-0.0555565933217169,0.955715669872648,0.987002437442838,-0.467168882189307,0.441470777758263
"SickLast2Weeks","SickLast2Weeks",-0.0158186671128899,0.0278606639503233,-0.56777782256357,0.570422701924579,0.986255066829691,-0.070547686718758,0.0389103524929781
"NailsMaintained","NailsMaintained",-0.00193989766164475,0.0261141274839665,-0.074285371503827,0.940810928298513,0.987002437442838,-0.0532380504123638,0.0493582550890743
"SchoolLatClean","SchoolLatClean",0.424580103615561,0.207773654194283,2.0434742088068,0.0414920939856109,0.567058617803349,0.0164330323807492,0.832727174850374
"RadioTV","RadioTV",-0.0107211164141843,0.0428363856216718,-0.2502806027771,0.802465899897218,0.987002437442838,-0.0948681917571535,0.0734259589287848
"RiverCleaning","RiverCleaning",0.0155709277297685,0.0283662183127259,0.548925047325851,0.583284624948484,0.986255066829691,-0.0401511943614207,0.0712930498209577
"OtherMeds","OtherMeds",-0.0427799459032968,0.0610815703397978,-0.700374035331953,0.483996506411691,0.986255066829691,-0.162767555195186,0.077207663388592
