"","term","estimate","std.error","statistic","p.value","p.adjust(summary(OR_Wasting)$coefficients[1:41, 4], method = ""BH"")","2.5 %","97.5 %"
"houseDustFloor","houseDustFloor",0.66379797112786,0.374303991448295,-1.09477175107412,0.273616645255691,0.999964099612909,0.312409835617958,1.36479017992045
"washHandsLatWater","washHandsLatWater",10046502.9759724,1713.8912237878,0.00940709360404699,0.992494335951768,0.999964099612909,3.91497189139047e-44,NA
"washHandsLatWaterSoap","washHandsLatWaterSoap",9453342.10421057,1713.89122039575,0.00937158596043147,0.992522665703599,0.999964099612909,3.23153591313235e-45,NA
"washHandsWaterB4Eat","washHandsWaterB4Eat",0.821436655600737,4371.65910926446,-4.49944626919185e-05,0.999964099612909,0.999964099612909,5.78247255591898e-135,0
"washHandsSoapB4Eat","washHandsSoapB4Eat",0.723630149044186,4371.65910190143,-7.39936151111434e-05,0.999940961636959,0.999964099612909,4.46359421967224e-24,7.01658267261399e+25
"SickLast2Weeks","SickLast2Weeks",0.760045424128656,0.375335630561833,-0.731017938496232,0.464768196023839,0.999964099612909,0.354730371758244,1.55735146812079
"NailsMaintained","NailsMaintained",0.932696990339971,0.344399578471408,-0.202308319856688,0.839675696151425,0.999964099612909,0.476978432650137,1.85253705011869
"SchoolLatClean","SchoolLatClean",16.2898929643892,1.69852348008601,1.64292391873093,0.100398675519682,0.999964099612909,0.432814483515095,619.026913431876
"`Radio/TV`","`Radio/TV`",0.895861113402418,0.515820749034443,-0.21319399343922,0.831175653120017,0.999964099612909,0.342291905760899,2.66385670017036
"RiverCleaning","RiverCleaning",1.1402807553355,0.357434138324889,0.367269084342647,0.713418312309413,0.999964099612909,0.560628762785188,2.2897506447366
"OtherMeds","OtherMeds",0.553847795263606,0.855601760091347,-0.690584563208981,0.489826651140271,0.999964099612909,0.0754428492636575,2.47317018323219
"`momFinished2+`","`momFinished2+`",0.608644909133059,0.450024548502174,-1.10331815232863,0.269889026354319,0.999964099612909,0.24911190914741,1.471604139648
