"","term","estimate","std.error","statistic","p.value","2.5 %","97.5 %"
"Radio","Radio",0.104135993349252,0.975933681569167,-2.31783946840208,0.0204580472016125,0.0112949387425196,0.567631382559399
"TV","TV",0.657461651848996,1.08639240425736,-0.386019673160225,0.69948209884135,0.0785647592464436,6.38990409599213
"NoPhone","NoPhone",4.67890245436515e-08,5758.96657647177,-0.00293066767374168,0.997661668857526,NA,4.67273065107388e+138
"Cattle","Cattle",6.68506651752924,1.59388971394242,1.191974666849,0.233271178697444,0.280852013143274,179.774912440944
"Sheep.Goat","Sheep.Goat",11.2209829070767,1.27632224683044,1.89433781741884,0.0581801844088538,0.935801211613522,159.857985748873
"Chicken","Chicken",0.145856889315615,1.18916248820447,-1.61889511925973,0.105469831204356,0.0107869514127556,1.23607419640993
"HousePet","HousePet",1.00450963046735,0.861347228735217,0.00522378478873527,0.995832041723944,0.175420557991183,5.5783005422851
"NoWaterInHouse","NoWaterInHouse",0.730616312489729,0.967452739520774,-0.324426015373871,0.745615526522511,0.102528370045086,4.86620207842108
"TapWater","TapWater",110.709148987532,1.55640349867198,3.02421993203965,0.00249275152404073,7.32946257210355,3810.18828852333
"WaterTreated","WaterTreated",2.11052707245773,0.974882468159473,0.76618232254942,0.443567825183713,0.292980739792899,14.8680690104131
"NoFamLat","NoFamLat",1.79992334250725e-07,9992.11750044322,-0.0015542603030609,0.998759880200017,NA,1.06666215323838e+233
"LatInside","LatInside",4.10351049170981e-09,7026.51661212489,-0.00274836367408104,0.997807125817627,NA,5.19222946862094e+181
"RiverBathing","RiverBathing",8.9366197751781,1.32632138686699,1.6513021942971,0.0986768844637362,0.769207858221802,154.371342555932
"RiverLaundry","RiverLaundry",0.340293913993358,1.19918432761998,-0.898898990794786,0.368706465588763,0.0285616980377508,3.37028908283408
"DefecateField","DefecateField",1.63360444497709,0.96965836940558,0.506146190122331,0.612754026710902,0.226903599300312,11.0468455908304
"DontUseSchoolLat","DontUseSchoolLat",0.21178625925768,1.28159185839505,-1.21113263460431,0.225844575761171,0.0115083186281886,1.8966713074465
"DontUseTP","DontUseTP",0.139533686144978,1.61000661809828,-1.22325536242595,0.22123326104528,0.00298700930272705,1.86708163384636
"EatSoil","EatSoil",62.0418774234435,1.98154470757162,2.08312716012794,0.0372396342989564,0.980539049497305,3709.3830747473
"NeverWashFruit","NeverWashFruit",4.57233130167451e-09,5822.33089423718,-0.00329820530287324,0.997368417681608,NA,1.84482762683299e+139
"EatRawVeg","EatRawVeg",0.979985645552139,0.890775052656631,-0.0226963639813149,0.98189247621247,0.176986760127135,6.48200744183598
"WalkBarefoot","WalkBarefoot",0.724980538879223,0.958679977923884,-0.335472185524756,0.737268923040126,0.0960962927065176,4.54345722342156
"DewormPill","DewormPill",0.40164160754244,0.815319751093441,-1.11881885641735,0.263217425549056,0.075069981483204,1.95819734489609
"Antibiotics","Antibiotics",0.310243814914891,1.74403269634325,-0.671086495889852,0.502165429178522,0.00526597398442058,5.80326267010752
"TakesMeds","TakesMeds",7.43439454178149e-09,14829.2565686998,-0.00126217714334893,0.998992928611716,7.87844476285361e-178,4.73964669050827e+153
"AntiMalaria3Months","AntiMalaria3Months",155428985.547543,32216.7949306511,0.000585461699132109,0.999532869176007,0,Inf
"Wheezing","Wheezing",1.95728188943679e+36,32361.7101671606,0.00258220655323209,0.997939699547981,9.38724727098368e-322,Inf
"DocConfirmedAsthma","DocConfirmedAsthma",3488194575.42102,14089.5064007732,0.00155950460581566,0.998755695856888,1.18573414507315e-120,4.00968905389589e+143
"Rash","Rash",8.38448451036406e-09,13176.278626319,-0.00141139114074363,0.998873873173425,2.61024756420845e-155,1.51475336618685e+142
"HayFever","HayFever",1673238150.1417,8841.78796520061,0.00240200587048309,0.998083478443921,1.79474482893825e-87,3.38606528993398e+107
"momFinishedPrimary","momFinishedPrimary",0.211834884084321,1.07146291837547,-1.44843851318925,0.147494450345067,0.0222058545963077,1.63670130717512
"momFinishedSecondary","momFinishedSecondary",1.97908322092336,0.95626073797748,0.713857309657843,0.475315417518004,0.302361065922673,14.035318062704
"momFinishedTertiary","momFinishedTertiary",0.326038770637453,1.61691193246739,-0.693135447792053,0.488224553866929,0.00816352625872475,6.18551716069006
"houseDustFloor","houseDustFloor",1.81796782464083,1.14020313005146,0.52422176507648,0.600124304287699,0.178125376958471,17.8609016122893
"washHandsLatWater","washHandsLatWater",0.0919368831908292,1.78475376679823,-1.33724496569059,0.18114268866682,0.00257184383773226,4.28629278499886
"washHandsLatWaterSoap","washHandsLatWaterSoap",0.250274508484329,1.62562297738667,-0.852102208722307,0.394157366198255,0.010584948146717,9.46648148292136
"washHandsWaterB4Eat","washHandsWaterB4Eat",7.39173432987799e-10,2856.69043235469,-0.00736008644770737,0.994127553676505,1.95310024070344e-40,2.28596155574324e+22
"washHandsSoapB4Eat","washHandsSoapB4Eat",NA,NA,NA,NA,NA,NA
