"","Stunting","Thinness","StuntingYoung","ThinnessYoung","WastingYoung"
"WaterTreated",0.056138644010539,0.107025486636909,0.0802988863720017,0.126599841867145,0.115376911971501
"NoFamLat",0.0127444264322552,-0.00704360542388388,0.00717986326519106,-0.00317329385775822,0.0131935617878134
"LatInside",0.00200882444619834,0.0213776910400114,0.00149161859101007,-0.00121858623832308,0.00148940336662635
"RiverBathing",0.0599852404661388,0.141337493927793,0.0709718294414381,0.114803527762861,0.0859540930253649
"RiverLaundry",0.0576042034564826,0.141795313155058,0.0838202818200485,0.148345634063844,0.0920778127377481
"DefecateField",0.0361269254454812,0.0963455766998834,0.0701515145231817,0.106022664344183,0.114120654973549
"DontUseSchoolLat",0.0829052430102099,0.0841845487815208,0.0533968728388642,0.117706716127005,0.145056095618564
"DontUseTP",0.0405416972505909,0.0650686434992423,0.0219900030935043,0.0556109066155647,0.0748552071565461
"EatSoil",0.0323158949228713,0.0286469599641641,0.0154646106900164,0.0312288512614297,0.0287519350203868
"NeverWashFruit",0.0163132428546697,0.00228833450884569,-0.00812124359601537,0.00931304145921348,0.0201637163384015
"EatRawVeg",0.071741071478837,0.167947668547723,0.136312355595362,0.17193645856343,0.122418010939658
"WalkBarefoot",0.0516058128847042,0.15783357264138,0.100366396623772,0.192674198966157,0.177199826640542
"DewormPill",0.0761603977939624,0.24231241048291,0.13121505144424,0.191113808744381,0.152371152020134
"Antibiotics",0.0364386645696359,0.0440926069797462,0.039381624099835,0.074591820153355,0.085304784920527
"TakesMeds",0.0236882919272712,0.0252613556785216,0.0134591956792922,0.0226200873992598,0.040973123429839
"AntiMalaria3Months",-0.00404699576790251,-0.000353535353535334,0.0120651787391896,-0.0039931897006951,0.00164381259439048
"Wheezing",-0.00263581203578985,0.0217890033424727,0.00702552110950885,-4.44957152274218e-05,-0.00345284166298098
"DocConfirmedAsthma",-0.00111789819376026,0.0180445022532396,0.0173726986873229,0.00123001408869415,0.00119902960878443
"Rash",0.00776005680054193,0.0626605717134729,0.0535046934989815,0.0526738366207083,0.0984190106355558
"HayFever",0.00111073741795035,0.0183874146431753,0.00484766302457997,0.00451045029015968,-0.00345284166298098
"momFinishedPrimary",0.0819502892291863,0.190778129686895,0.075368941912739,0.208081997737189,0.142077765941523
"momFinishedSecondary",0.0674451960452111,0.216951583927409,0.0578839952364357,0.113459351018351,0.128830063061577
"momFinishedTertiary",0.0179700267177803,0.0425771886757328,0.0255451495756135,0.0357592755394894,0.044393111324799
"houseDustFloor",0.0238744172113634,0.148766882622512,0.0403718399880597,0.0704742318382097,0.0980731222051297
"washHandsLatWater",0.0498492548914945,0.0969622559690241,0.0187773316226002,0.147456833770674,0.0695494876178489
"washHandsLatWaterSoap",0.0639792667318072,0.107990324503337,0.0386398151867227,0.180915225705666,0.0753448433671493
"washHandsWaterB4Eat",0.041428643230618,0.0359740770889708,0.0251163056236658,0.0319030892862904,0.0474359960703908
"washHandsSoapB4Eat",0.041428643230618,0.0359740770889708,0.0222512226885986,0.0316328190160201,0.0464967821037356
