"","term","estimate","std.error","statistic","p.value","p.adjust(summary(LIN_Thinness)$coefficients[1:41, 4], method = ""BH"")","2.5 %","97.5 %"
"DefecateField","DefecateField",0.00508752538925081,0.0170432602211392,0.298506584024377,0.765379129872714,0.950925585599433,-0.0283574982720922,0.0385325490505939
"DontUseSchoolLat","DontUseSchoolLat",-0.00995437854759867,0.0158489665929406,-0.628077451562838,0.530097912254701,0.923467339634648,-0.0410557673564884,0.021147010261291
"DontUseTP","DontUseTP",-0.0130632512376258,0.0186787413718512,-0.69936464013106,0.484488293662666,0.923467339634648,-0.0497176787966691,0.0235911763214174
"EatSoil","EatSoil",-0.0134424741812388,0.0289951285279132,-0.463611470744057,0.64302794106905,0.923467339634648,-0.0703413742213229,0.0434564258588453
"NeverWashFruit","NeverWashFruit",-0.0206796381200701,0.034928730787614,-0.592052377906708,0.553950560210914,0.923467339634648,-0.089222405905983,0.0478631296658428
"EatRawVeg","EatRawVeg",0.00699776150950601,0.0136510107931074,0.512618561040132,0.608332401556051,0.923467339634648,-0.0197904452685871,0.0337859682875991
"WashRawVegFrequency","WashRawVegFrequency",-0.0063199018698105,0.0326802323760141,-0.193386075016071,0.846696247912498,0.992615972096927,-0.0704503047910965,0.0578105010514755
"WalkBarefoot","WalkBarefoot",-0.000197612376755891,0.0127512699749474,-0.0154974663028971,0.987638425200522,0.992615972096927,-0.0252202031540375,0.0248249784005258
"DewormPill","DewormPill",0.00075831890420399,0.0126539463855346,0.0599274630300997,0.952225489294812,0.992615972096927,-0.0240732878882952,0.0255899256967032
"Antibiotics","Antibiotics",-0.00895718572315778,0.0210092053547815,-0.426345764720664,0.669948505522189,0.923467339634648,-0.0501848241608531,0.0322704527145376
"DocConfirmedAsthma","DocConfirmedAsthma",0.0806982679297191,0.0632460586378813,1.2759414526012,0.202275187195991,0.923467339634648,-0.0434133104998006,0.204809846359239
"Rash","Rash",-0.000552036726142812,0.0236498812480496,-0.0233420506577951,0.981382128303048,0.992615972096927,-0.0469616336967924,0.0458575602445068
"momFinishedPrimary","momFinishedPrimary",-0.00491729723143263,0.0142963241355348,-0.34395535417459,0.730952827748212,0.936533310552396,-0.0329718415368785,0.0231372470740132
"houseDustFloor","houseDustFloor",-0.0136911327477833,0.0143111018613572,-0.956679148846817,0.338962543388501,0.923467339634648,-0.0417746762812746,0.0143924107857079
"washHandsLatWater","washHandsLatWater",-0.0420163220977903,0.0395010498888117,-1.06367608496632,0.287734573253034,0.923467339634648,-0.119531629089383,0.0354989848938021
"washHandsLatWaterSoap","washHandsLatWaterSoap",-0.0402379316008554,0.0383123861775834,-1.05025908369024,0.293855055939866,0.923467339634648,-0.11542065166767,0.0349447884659594
"washHandsWaterB4Eat","washHandsWaterB4Eat",0.0572627796664417,0.142447249645445,0.401992876724334,0.687775950373914,0.923467339634648,-0.22227010154698,0.336795660879864
"washHandsSoapB4Eat","washHandsSoapB4Eat",0.080396870280857,0.142370151488006,0.564703130821842,0.572403500259051,0.923467339634648,-0.198984716540158,0.359778457101872
"SickLast2Weeks","SickLast2Weeks",-0.00581372723596856,0.0137466088582705,-0.422920830577847,0.672444778309964,0.923467339634648,-0.0327895318979099,0.0211620774259727
"NailsMaintained","NailsMaintained",0.0178830065920746,0.0121865217381238,1.46744140587139,0.14257330185416,0.923467339634648,-0.00603134445300832,0.0417973576371576
"SchoolLatClean","SchoolLatClean",0.121203224769427,0.0726625786121198,1.6680281251292,0.0956260539295332,0.923467339634648,-0.0213869621692373,0.263793411708092
"RadioTV","RadioTV",-0.0194134935265473,0.0207966367185977,-0.933491977055431,0.350793393559361,0.923467339634648,-0.0602239956314882,0.0213970085783935
"RiverCleaning","RiverCleaning",0.00533514845969023,0.0137567106755854,0.387821521111057,0.698231403138393,0.923467339634648,-0.0216604796113133,0.0323307765306938
"OtherMeds","OtherMeds",-0.0355910644972323,0.0314827515412394,-1.13049408818703,0.258541613136462,0.923467339634648,-0.0973715781172113,0.0261894491227467
"momFinished2Up","momFinished2Up",0.0142364905932181,0.0163457044385992,0.870962193565646,0.383985729646473,0.923467339634648,-0.0178396770306387,0.0463126582170749
