"","term","estimate","std.error","statistic","p.value","2.5 %","97.5 %"
"DrinkDirect","DrinkDirect",1.12052499102354,0.265125683389179,0.429220270222021,0.667762932879715,0.672692831519498,1.90756361776725
"OwnLatrine","OwnLatrine",0.471143602378073,0.723844648787665,-1.03971528202774,0.298472198510651,0.118433143318975,2.13341326672357
"Outside.Latrine","Outside.Latrine",1.31123345530136,0.833856489233526,0.324957911398513,0.74521292623429,0.299282529229555,9.22110159176683
"Sewage","Sewage",0.985168586303528,0.653919596061987,-0.0228506668671489,0.98176939224414,0.242711197479566,3.31826768640205
"Ditch","Ditch",0.188065605994449,0.643361081334657,-2.59724198035941,0.00939756942216339,0.0426281248580245,0.574466547724418
"River","River",0.463442784353604,0.600617349934747,-1.28046974380984,0.200379979088311,0.12357786177934,1.37103666001742
"SometimesBathRiv","SometimesBathRiv",2.2744138986447,0.61155377102594,1.34366335582152,0.179057272023184,0.707469212788916,8.01880071110885
"NeverBathRiv","NeverBathRiv",2.91329152173703,0.642585728079473,1.66403252105467,0.0961059305674273,0.850257521610952,10.8436179610904
"SometimesWashCloth","SometimesWashCloth",2.07376927014605,0.469067648050484,1.55493105935982,0.119962489253117,0.856730338714878,5.46373900728241
"NeverWashCloth","NeverWashCloth",1.85131036661538,0.500709006843127,1.23004317122514,0.218680938915818,0.718369278868132,5.18121130605326
"AlwaysDeficate","AlwaysDeficate",0.604235586154624,1.29799167512068,-0.388131236469786,0.697918917034698,0.0241077540590025,5.70881929309206
"SometimesDeficate","SometimesDeficate",0.912100545715429,0.253469729950234,-0.362982386526749,0.716618041822552,0.551760692061413,1.49278193773846
"AlwaysSchoolLat","AlwaysSchoolLat",1.13460214638543,0.487879363656331,0.258838694707896,0.795759700921615,0.418886517038495,2.87624856788601
"SometimesSchoolLat","SometimesSchoolLat",1.31942953924724,0.233181210958847,1.18877277809098,0.234529092829539,0.840883752808412,2.10104154857312
"SometimesTP","SometimesTP",1.0931175764271,0.221774303829688,0.401461188617854,0.688080607339605,0.710953601225776,1.6981024975168
"NeverTP","NeverTP",1.59814821955079,0.30258111170605,1.54948732113504,0.121264617060039,0.882814121456979,2.89693666754754
"SometimesWashHands","SometimesWashHands",0.935747414685818,0.204823602633659,-0.324228722536089,0.74576487817901,0.625513770785904,1.39753879260999
"NeverWashHands","NeverWashHands",1.65330005497316,0.524343989421267,0.958861613691139,0.337628464936436,0.567527229123046,4.51782275264769
"WaterWashHands","WaterWashHands",0.861306089510392,0.22581780127888,-0.661176099615793,0.508499386770712,0.550330666858056,1.3355357042972
"AlwashHandsEating","AlwashHandsEating",0.343871733417166,1.75389842376802,-0.608636477830504,0.542765420141797,0.00797576801786566,13.7059218176883
"SometimesHandsEating","SometimesHandsEating",0.346622130504882,1.75525581769275,-0.603627142428696,0.54609156306808,0.00801397224749568,13.8316350921133
