"","Stunting_PV","Stunting_COR","Stunting_2.5","Stunting_97.5","Thinness_PV","Thinness_COR","Thinness_2.5","Thinness_97.5","Wasting_PV","Wasting_COR","Wasting_2.5","Wasting_97.5"
"HousePet",0.0740058513865647,1.31262923701423,-0.0278541237837296,0.569548626065591,0.63324458086496,1.17683686176763,-0.524914418609143,0.82412908273352,0.271287338600787,1.37836879432605,-0.259536985781929,0.889765586694646
"PotableWaterFromHouse",0.0726651763943586,0.756855575866493,-0.581239922445771,0.0277424807792079,0.782940220661242,0.907853765425253,-0.768772013178445,0.619413723473191,0.915887227763141,0.967899625224053,-0.623805721473419,0.594664658904218
"DontTreatWater",0.327802603828292,1.23502304147699,-0.199776193658515,0.648456867866447,0.547793380162299,0.772750381291632,-1.04300189038126,0.664046713370729,0.557781997561977,1.30266075387774,-0.547791428969286,1.25107835262725
"LatOutside",0.345211397754556,2.04834605589982,-0.567501061385859,2.57309644140911,0.988471975073682,1607924.42148978,-48.3705571478765,NA,0.98544139944435,584605.524091846,-70.1291819952889,NA
"DefecateField",0.906771067928323,1.02256175924633,-0.359766874387777,0.38857554617656,0.972451620088766,1.01487455197128,-0.904937535230512,0.796901689555089,0.125332315446348,0.526160648928345,-1.54935168225227,0.117403647178927
"DontUseSchoolLat",0.327918738723694,0.830687830686298,-0.566557857020319,0.17830585214017,0.482987192128719,0.727890106521141,-1.30605894778416,0.500520709741073,0.270887454509398,0.610240823080821,-1.4767452188116,0.31222762036223
"DontUseTP",0.142478949358068,1.35918367347139,-0.113155807029709,0.709195132997709,0.677184727191378,0.799444829987101,-1.44585630861115,0.718121339622124,0.702154520610813,0.812925170068609,-1.43496150588318,0.743819154373689
"EatSoil",0.666941703879783,1.16842105263328,-0.514418757974295,0.918603782617114,0.871619522573259,0.887011615628462,-1.34830680662461,1.71590700786135,0.964379001625814,0.972501676727028,-1.10819906587682,1.42569494922333
"NeverWashFruit",0.805439616408464,1.10714285714414,-0.77281685404159,0.869443840575402,0.983424456499875,6.11120335740015e-07,-223.820564622754,18.2920237830031,0.986192104685548,2.24402677711106e-07,NA,36.0081616572939
"EatRawVeg",0.61138433778365,0.922196796337732,-0.390770875351566,0.234808479079413,0.347718343659885,1.44117647053797,-0.359267859926064,1.18519835466704,0.877572405243233,0.954733773208536,-0.6255724119248,0.559917382210806
"WashRawVegFrequency",0.497055612655971,0.782762691852599,-0.923265542882992,0.50464235249091,0.689107481799148,1.50785340260736,-1.16056261579001,3.30007608186797,0.296387213787559,2.92369208570062,-0.503521293566977,3.96367136357702
"WalkBarefoot",0.0857198632312067,1.29262048934519,-0.0358961693604617,0.550103890853994,0.624661942683789,0.847639268022393,-0.842320970393766,0.493106848291169,0.978151730817564,1.00792621415189,-0.560802475529845,0.574936698787042
"DewormPill",0.742908214561529,0.950772547609861,-0.350426289622155,0.25344520681782,0.91598008865733,0.96422875370256,-0.701683320054788,0.663731378552525,0.576601359097711,1.18764182230744,-0.417237220425747,0.797631939524357
"Antibiotics",0.542046592141239,0.865128660158412,-0.62927812641291,0.305846261074824,0.469760971651838,0.643382353169067,-1.87554820974595,0.60165923003367,0.361737570446803,1.42561983471072,-0.46597725849851,1.07516258276095
