"","term","estimate","std.error","statistic","p.value","p.adjust(summary(OR_Stunting)$coefficients[1:41, 4], method = ""BH"")","2.5 %","97.5 %"
"DontUseTP","DontUseTP",1.57666963444332,0.23761589124272,1.91617990599643,0.0553422001353881,0.414270821941999,0.982775199321098,2.49989406005969
"EatSoil","EatSoil",1.42934926442465,0.397780669939668,0.898030768845417,0.369169145951851,0.796628157053995,0.678579853466554,3.27078991568433
"NeverWashFruit","NeverWashFruit",0.728150790317771,0.459787536243334,-0.68998634732139,0.490202773057775,0.834838203881234,0.278402799045837,1.72157697412973
"EatRawVeg","EatRawVeg",0.919411873855556,0.180683404561839,-0.465018251730063,0.641918386172735,0.834838203881234,0.646648303525417,1.31415033372389
"WashRawVegFrequency","WashRawVegFrequency",0.741798025356917,0.422372139487604,-0.707144832644703,0.479476477590724,0.834838203881234,0.33204400118931,1.76400581098507
"WalkBarefoot","WalkBarefoot",1.25050926760852,0.167990734281441,1.33073340852193,0.183276746114918,0.751324899316399,0.899724225411334,1.73924935665514
"DewormPill","DewormPill",1.0265146808334,0.166457456257702,0.157212898705176,0.875077063014504,0.925361476452509,0.741914094913959,1.42565299767169
"Antibiotics","Antibiotics",0.737265427054281,0.290329498736073,-1.0498668158064,0.293779350368408,0.751324899316399,0.409301894696073,1.28269679211654
"DocConfirmedAsthma","DocConfirmedAsthma",0.359690884589258,1.11742033559383,-0.915063237829616,0.3601584327818,0.796628157053995,0.0182738253689391,2.27473354121969
"Rash","Rash",0.907006033492768,0.327761860960021,-0.297796017087723,0.765858854621396,0.879118485429575,0.463589657398829,1.68714257665909
"momFinishedPrimary","momFinishedPrimary",0.950465566452858,0.189170522268498,-0.268558461820631,0.788269480894788,0.879118485429575,0.656758527637634,1.37987769621098
"houseDustFloor","houseDustFloor",1.14572345681553,0.18504104829374,0.735168108629372,0.462237118896612,0.834838203881234,0.796095960710367,1.64552954779572
"washHandsLatWater","washHandsLatWater",0.702399736576879,0.486487909496096,-0.72612824450276,0.467760155537915,0.834838203881234,0.277672008266729,1.90656686427942
"washHandsLatWaterSoap","washHandsLatWaterSoap",0.730327926647461,0.468545518325395,-0.670717398480278,0.502400577042491,0.834838203881234,0.29987823925675,1.92177312075013
"washHandsWaterB4Eat","washHandsWaterB4Eat",0.604287918486211,1.56737725337508,-0.32136775451221,0.747931716321737,0.879118485429575,0.0193098891534005,18.7703670525696
"washHandsSoapB4Eat","washHandsSoapB4Eat",0.663633636114753,1.56520875544318,-0.261961884119696,0.793350828314494,0.879118485429575,0.0212758133824888,20.5539717042962
"SickLast2Weeks","SickLast2Weeks",0.972573054810364,0.184554164643889,-0.150687933469217,0.880221892235314,0.925361476452509,0.674493294719075,1.39181936867735
"NailsMaintained","NailsMaintained",0.850453611448892,0.160060303868441,-1.01202738843322,0.311524958253141,0.751324899316399,0.621310402005515,1.16422476572629
"SchoolLatClean","SchoolLatClean",5.79585485799587e-07,530.630828065414,-0.0270639245008146,0.978408748291913,0.978408748291913,NA,246813351437296
"RadioTV","RadioTV",1.01777123982698,0.269839644990525,0.0652801688166505,0.947950931651919,0.971649704943217,0.607067817821088,1.75480885471124
"RiverCleaning","RiverCleaning",0.921403501039939,0.181273762858198,-0.451566875982622,0.651581037175597,0.834838203881234,0.644874165649109,1.31333759279069
"OtherMeds","OtherMeds",2.14827123231405,0.398505720675626,1.91882675963997,0.0550062620671299,0.414270821941999,0.961867995515973,4.63589222448319
"momFinished2Up","momFinished2Up",1.13553118933226,0.215968322094105,0.588514780508185,0.556186815892705,0.834838203881234,0.743381677164101,1.73529391385923
